preset,peak_dbfs,rms_dbfs,lufs,duration_s,render_s,notes
v2/en_speaker_0,0.52,-20.92,-16.77,13.4,23.87,
v2/en_speaker_1,-5.85,-26.4,-25.11,5.827,10.09,
v2/en_speaker_2,-3.3,-29.12,-23.89,14.68,25.21,
v2/en_speaker_3,-5.63,-25.91,-25.09,10.08,17.14,
v2/en_speaker_4,-8.89,-31.37,-26.43,14.427,24.58,
v2/en_speaker_5,5.36,-18.05,-14.33,6.867,12.14,
v2/en_speaker_6,-4.22,-24.7,-24.24,7.533,13.09,
v2/en_speaker_7,3.29,-27.86,-25.56,13.72,23.34,
v2/en_speaker_8,-8.09,-32.55,-27.24,13.987,23.62,
v2/en_speaker_9,-10.01,-29.23,-27.73,6.987,12.31,
