scanned 7490 files, 298006 distinct identifiers

file                                               symbol                                     line self
nodes\OTR_LedgerScriptWriter.py                    _TITLE_PREFIX_RE                            367 1
nodes\_otr_audio_cache.py                          LEDGER_SCHEMA_VERSION_TARGET                190 1
nodes\_otr_captions.py                             _WHITE                                       90 1
nodes\_otr_cast_env.py                             other_name_policy                            54 1
nodes\_otr_determinism.py                          seed_all_rngs                                66 1
nodes\_otr_episode_budget.py                       _self_test                                  281 1
nodes\_otr_image_engines\schemas.py                ImageEngineConfig                            37 1
nodes\_otr_image_engines\schemas.py                ImageLedgerSection                           97 1
nodes\_otr_ledger.py                               _WORD_COUNT_RE                              663 1
nodes\_otr_ledger_clean.py                         probe_context_visibility                    638 1
nodes\_otr_ledger_clean.py                         _grade_probe                                734 1
nodes\_otr_news_wiring.py                          _word_boundary_pattern                       32 1
nodes\_otr_scifi_p0_contract.py                    MAX_PROVENANCE_NOTE_CHARS                    24 1
nodes\_otr_scifi_p0_contract.py                    P0RepairTrimReceipt                         239 1
nodes\_otr_shared\cloud_media_canonical.py         _not_built_yet                              127 1
nodes\_otr_shared\content_oracle.py                check_manifest                              204 1
nodes\_otr_shared\content_oracle.py                load_manifest                               225 1
nodes\_otr_shared\role_slots.py                    PER_ROLE_VIDEO_SLOTS                         48 1
nodes\_otr_shared\role_slots.py                    NEW_ROUTE_A_VIDEO_SLOTS                      56 1
nodes\_otr_source_grounding.py                     _SENTENCE_END_RE                             68 1
nodes\_otr_video_engines\eng_ltx_8gb.py            _LTX8_DEFAULT_W                             148 1
nodes\_otr_video_engines\eng_ltx_8gb.py            _LTX8_DEFAULT_H                             149 1
nodes\_otr_voice_bank.py                           VOICE_BANK_SCHEMA_VERSION                    64 1
nodes\otr_credits_roll.py                          _MARGIN_L                                    66 1
nodes\otr_credits_roll.py                          _PT_GRIDL                                   107 1
nodes\otr_image_gen_dispatcher.py                  _IMAGE_EXTENSIONS                           319 1
nodes\otr_silent_composite.py                      freezedetect_silent                         787 1
nodes\story_orchestrator.py                        body_scraper_unavailable                   1023 1
nodes\story_orchestrator.py                        _TOKEN_RATIO_MIXED                         1912 1
nodes\story_orchestrator.py                        _TOKEN_RATIO_OUTLINE                       1913 1
nodes\story_orchestrator.py                        _TOKEN_RATIO_ACT_OBSIDIAN                  1915 1
nodes\story_orchestrator.py                        _log_scene_checkpoint                      2037 1
nodes\story_orchestrator.py                        _cleanup_character_names                   2074 1
nodes\story_orchestrator.py                        _extract_all_dialogue                      2251 1
nodes\video_engine.py                              CRT_RED                                      69 1
nodes\video_engine.py                              CRT_MAGENTA                                  72 1
nodes\_otr_audio_engines\eng_cloud_elevenlabs.py   _DEFAULT_MODEL_ID                            44 2
nodes\_otr_audio_engines\eng_cloud_elevenlabs.py   _DEFAULT_OUTPUT_FORMAT                       46 2
nodes\_otr_audio_engines\eng_cloud_elevenlabs.py   _DEFAULT_APPLY_TEXT_NORM                     48 2
nodes\_otr_audio_engines\eng_cloud_elevenlabs.py   _SEED_MAX                                    49 2
nodes\_otr_audio_engines\eng_cloud_elevenlabs.py   _partner_model_payload                       78 2
nodes\_otr_audio_engines\eng_cloud_elevenlabs.py   _partner_output_format                       98 2
nodes\_otr_audio_engines\eng_cloud_elevenlabs.py   _apply_text_normalization                   108 2
nodes\_otr_audio_engines\eng_cloud_elevenlabs.py   _partner_seed                               119 2
nodes\_otr_audio_engines\eng_cloud_elevenlabs.py   ElevenLabsCloudVoice                        128 2
nodes\_otr_audio_engines\eng_cloud_sonilo.py       _MUSIC_TIMEOUT_S                             36 2
nodes\_otr_audio_engines\eng_cloud_sonilo.py       _sonilo_min_duration_s                       45 2
nodes\_otr_audio_engines\eng_google_lyria.py       _cue_duration_s                              50 2
nodes\_otr_audio_engines\eng_google_lyria.py       _provider_prompt                             68 2
nodes\_otr_audio_engines\eng_google_lyria.py       GoogleLyriaMusic                            199 2
nodes\_otr_audio_engines\eng_google_tts.py         _INTERACTIONS_PATH                           29 2
nodes\_otr_audio_engines\eng_google_tts.py         _LOW_COST_RETRY_MODEL                        31 2
nodes\_otr_audio_engines\eng_google_tts.py         _EMOTION_KEYS                                66 2
nodes\_otr_audio_engines\eng_google_tts.py         _PAREN_STAGE                                 74 2
nodes\_otr_audio_engines\eng_google_tts.py         _BRACKET_STAGE                               75 2
nodes\_otr_audio_engines\eng_google_tts.py         _known_secret_values                         86 2
nodes\_otr_audio_engines\eng_google_tts.py         _redact                                      96 2
nodes\_otr_audio_engines\eng_google_tts.py         _resolve_api_key                            103 2
nodes\_otr_audio_engines\eng_google_tts.py         _validate_voice                             152 2
nodes\_otr_audio_engines\eng_google_tts.py         _EVIDENCE_FIELDS                            183 2
nodes\_otr_audio_engines\eng_google_tts.py         _sample_rate_from                           224 2
nodes\_otr_audio_engines\eng_google_tts.py         _preserve_stage_tags                        326 2
nodes\_otr_audio_engines\eng_google_tts.py         _restore_stage_tags                         348 2
nodes\_otr_audio_engines\eng_google_tts.py         _delivery_prefix                            355 2
nodes\_otr_audio_engines\eng_google_tts.py         _apply_delivery_prompt                      374 2
nodes\_otr_audio_engines\eng_google_tts.py         _apply_voice_prompt                         383 2
nodes\_otr_audio_engines\eng_stable_audio_3.py     _TENC                                        28 2
nodes\_otr_audio_engines\eng_stable_audio_3.py     _SA3_PERIOD_GENRE                            40 2
nodes\_otr_audio_engines\eng_stable_audio_3.py     _SA3_NEG_DEFAULT                             60 2
nodes\_otr_audio_motion.py                         _SILENCE_DBFS                                47 2
nodes\_otr_audio_motion.py                         _ONSET_DBFS                                  48 2
nodes\_otr_audio_motion.py                         _read_wav                                    61 2
nodes\_otr_audio_motion.py                         _frame_dbfs                                  82 2
nodes\_otr_audio_motion.py                         _brightness                                  95 2
nodes\_otr_audio_motion.py                         _zero_crossing_rate                         112 2
nodes\_otr_audio_motion.py                         _speech_vs_music                            121 2
nodes\_otr_banana_route.py                         _resolve_replacement                        218 2
nodes\_otr_banana_route.py                         _match_case                                 242 2
nodes\_otr_banana_route.py                         _last_index_ci                              403 2
nodes\_otr_banana_route.py                         _phrase_starts_covering                     420 2
nodes\_otr_banana_route.py                         _retreat_to_phrase_boundary                 433 2
nodes\_otr_banana_route.py                         _longest_complete_phrase_prefix             460 2
nodes\_otr_banana_route.py                         _FALSE_TOKENS                               552 2
nodes\_otr_bark_lib.py                             _HIGH_BAND_ARTIFACT_THRESHOLD               588 2
nodes\_otr_captions.py                             MAX_LINES_PER_CUE                            77 2
nodes\_otr_captions.py                             CAPTION_MARGIN_X                             81 2
nodes\_otr_captions.py                             TITLE_OUTLINE_W                             261 2
